"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18384","Fill customer form with valid details","webkit","2026-03-20","passed","2026-03-20","Automation Testing Practice","testAutomation.spec.js","",""
"","11901","Validate page title","firefox","2026-03-20","passed","2026-03-20","Automation Testing Practice","testAutomation.spec.js","",""
"","10206","Verify GUI Elements link visibility","chromium","2026-03-20","passed","2026-03-20","Automation Testing Practice","testAutomation.spec.js","",""
"","7754","Validate the Automation Testing Practice URL","firefox","2026-03-20","passed","2026-03-20","Automation Testing Practice","testAutomation.spec.js","",""
"","7256","Validate page title","chromium","2026-03-20","passed","2026-03-20","Automation Testing Practice","testAutomation.spec.js","",""
"","6309","Validate the Automation Testing Practice URL","webkit","2026-03-20","passed","2026-03-20","Automation Testing Practice","testAutomation.spec.js","",""
"","9308","Verify GUI Elements link visibility","webkit","2026-03-20","passed","2026-03-20","Automation Testing Practice","testAutomation.spec.js","",""
"","13761","Validate page title","webkit","2026-03-20","passed","2026-03-20","Automation Testing Practice","testAutomation.spec.js","",""
"","17991","Fill customer form with valid details","chromium","2026-03-20","passed","2026-03-20","Automation Testing Practice","testAutomation.spec.js","",""
"","18519","Fill customer form with valid details","firefox","2026-03-20","passed","2026-03-20","Automation Testing Practice","testAutomation.spec.js","",""
"","6894","Validate the Automation Testing Practice URL","chromium","2026-03-20","passed","2026-03-20","Automation Testing Practice","testAutomation.spec.js","",""
"","7214","Verify GUI Elements link visibility","firefox","2026-03-20","passed","2026-03-20","Automation Testing Practice","testAutomation.spec.js","",""
